WBS ID,タスク,担当,工数(人日),状態,開始,終了,先行タスク,工数出典,備考
2.3.2,顧客 / PMO 設計レビュー・承認,PM + Tech Lead,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.3.1,,
WBS-3,開発 (L4a 詳細設計 + L5 実装 + 単体テスト),,,,,,,,1 Component = 8 人日 (例示、出典必須)
3.1,L4a 実装設計 (横串 9 観点),,,,,,,,
3.1.1,ディレクトリ構造設計 + ルーティング設計,Tech Lead,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.3,,
3.1.2,Repository IF 設計 + 状態管理設計,Tech Lead + BE-Sr,8,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.1.1,,
3.1.3,Observability + Security + Cap 境界 UI 制約設計,Tech Lead + DevOps + Sec,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.1.1,,
3.2,L5 実装 (per-Cap / per-Component),,,,,,,,
3.2.1,Cap-{Domain1}/internal/{module-A} 実装,BE-Sr,8,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.1,,1 Component = 8 人日 (例示)
3.2.2,Cap-{Domain1}/adapter/{adapter-name} 実装,BE-Sr,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.2.1,,
3.2.3,Cap-{Domain2}/internal/{module-B} 実装,BE-Sr,8,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.1,,
3.3,UI 実装 (画面別),,,,,,,,
3.3.1,{画面 1} 顧客向け画面実装,FE-Sr,8,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.1,,
3.3.2,{画面 2} 行員向け画面実装,FE-Mid,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.1,,
3.4,単体テスト (per-Cap unit、C2 100%),,,,,,,,実装工数の 30% (例示、出典必須)
3.4.1,Cap-{Domain1} unit test,BE-Sr,4,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.2.1,,
3.4.2,Cap-{Domain2} unit test,BE-Sr,4,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.2.3,,
WBS-4,テスト (cross-Cap integration + 外部結合 + E2E + NFT),,,,,,,,結合テスト = 実装工数の 20% / 外部結合 = 1 結合点 = 3 人日 (例示、出典必須)
4.1,cross-Cap integration テスト,,,,,,,,
4.1.1,Cap-{Domain1} × Cap-{Domain2} integration test,QA + BE-Sr,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.4,,
4.1.2,System Flow {scenario1} E2E test,QA + FE-Sr,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.3,,
4.2,外部結合 疎通テスト (cap × external system),,,,,,,,1 外部結合 = 3 人日 (例示)
4.2.1,外部 API ({Stripe / OAuth / 等}) 疎通,API + BE-Sr,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,3.2,,先方 sandbox 開放後
4.2.2,外部 API 結合テスト (本番環境),API + BE-Sr + QA,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,4.2.1,,
4.3,NFT (性能 / 負荷 / 信頼性、T1 Core Cap 必須),,,,,,,,
4.3.1,T1 Core Cap 性能テスト,Tech Lead + QA,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,4.1,,DPG §2.9.3 R3 規範
4.3.2,T1 Core Cap 負荷テスト,Tech Lead + QA,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,4.3.1,,
WBS-5,リリース (MVP + GA),,,,,,,,
5.1,MVP リリース (M-4),,,,,,,,
5.1.1,リリースノート作成,PM + Tech Lead,2,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,4.1,,
5.1.2,顧客 / PMO デモ,PM + 全チーム,1,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,5.1.1,,
5.2,GA リリース (M-5),,,,,,,,
5.2.1,運用 runbook 確定,DevOps + Tech Lead,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,4.3,,
5.2.2,本番デプロイ + 監視運用開始,DevOps + 全チーム,2,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,5.2.1,,
